,Unnamed: 0,e1_in_ksb,e1_out_ksb,e1_error_ksb,e2_in_ksb,e2_out_ksb,e2_error_ksb,e_in_ksb,e_out_ksb,e_error_ksb,e1_in_reg,e1_out_reg,e1_error_reg,e2_in_reg,e2_out_reg,e2_error_reg,e_in_reg,e_out_reg,e_error_reg,e_in_obs_ksb,e_out_obs_ksb,e_obs_error_ksb,mag_in,mag_out,delta_mag
28234,28234,-0.2902032732963562,-0.2586074471473694,0.031595826148986816,-0.017464838922023773,0.02000495977699757,0.03746979869902134,0.2907283275336132,0.2593800496101401,-0.031348277923473056,-0.5486676096916199,-0.5009931921958923,0.04767441749572754,-0.033399902284145355,0.03787289187312126,0.07127279415726663,0.5496832718914649,0.5024226652585086,-0.04726060663295628,0.20046871898224045,0.17737366195489734,-0.023095057027343074,-3.670928719422127,-3.6020052000000002,0.06892347612073557
28235,28235,-0.01666256226599216,-0.0095163406804204,0.007146221585571766,0.003770455252379179,0.004314079415053129,0.0005436241626739502,0.017083831949485446,0.010448541579819134,-0.006635290369666312,-0.03471243754029274,-0.01941902376711369,0.015293413773179053,0.007925198413431644,0.008852271363139153,0.000927072949707508,0.035605646881934114,0.021341536785207848,-0.014264110096726259,0.017520242303120114,0.013021609468562916,-0.0044986328345571975,-3.6343194897023934,-3.6550879999999997,-0.02076845814306516
28236,28236,0.02641588449478149,0.01837482489645481,-0.008041059598326683,-0.0225672647356987,-0.006115257274359465,0.01645200746133924,0.034743062491564385,0.01936570580967763,-0.015377356681886747,0.05230603367090225,0.036284223198890686,-0.016021810472011566,-0.044875618070364005,-0.01157797034829855,0.03329764772206545,0.06891837386052242,0.038086667621793815,-0.030831706238728607,0.03827569396325075,0.02029709300277219,-0.01797860096047856,-4.5342224035691485,-4.5227075,0.011514941258358393
28237,28237,-0.09349001199007034,-0.08512016385793686,0.008369848132133484,-0.07283703982830048,-0.07006974518299103,0.0027672946453094482,0.11851420468810027,0.11025067566782216,-0.008263529020278104,-0.19424930214881894,-0.17715182900428772,0.01709747314453125,-0.15174821019172668,-0.14638924598693848,0.005358964204788208,0.2464960662600838,0.22980988198985,-0.0166861842702338,0.09592237269897423,0.08948015245400184,-0.006442220244972388,-3.732038894819655,-3.6450899,0.08694903008882005
28238,28238,-0.16782960295677185,-0.16623182594776156,0.001597777009010315,0.0709572359919548,0.0657985731959343,-0.005158662796020508,0.18221335013726533,0.17878051401802045,-0.0034328361192448864,-0.32061952352523804,-0.31917166709899897,0.0014478564262390135,0.13572031259536746,0.1261862963438034,-0.009534016251564026,0.34816214917267346,0.3432106269679312,-0.004951522204742265,0.18626716789364745,0.1854903384703892,-0.0007768294232582407,-4.121509104950478,-4.101418499999999,0.02009060977225552
28239,28239,0.01889702118933201,0.04191995412111282,0.02302293293178081,0.014391810633242132,0.013411431573331356,-0.0009803790599107742,0.023753349724473898,0.04401305545360778,0.02025970572913388,0.04198921099305153,0.09255952388048172,0.050570312887430184,0.031645778566598885,0.028390444815158844,-0.0032553337514400482,0.052578980029144816,0.09681571575825924,0.04423673572911442,0.009195080562639943,0.016911439917603837,0.007716359354963894,-3.92417792466762,-3.8902712,0.03390673783900633
28240,28240,0.0006658023339696229,0.010133147239685059,0.009467344905715436,0.025097966194152832,0.016052035614848137,-0.009045930579304695,0.025106795889375404,0.018982848057167025,-0.00612394783220838,0.0011786273680627346,0.020489627495408055,0.019311000127345324,0.05111420527100563,0.032240062952041626,-0.018874142318964005,0.051127792275427325,0.03820008500058853,-0.012927707274838794,0.02285715463909491,0.015179695806553074,-0.007677458832541831,-6.199014490540415,-6.1833944,0.015620058472543441
28241,28241,-0.2706097960472107,-0.25407615303993225,0.01653364300727844,0.3999168872833252,0.4176012277603149,0.017684340476989746,0.4828697323824479,0.48882049565305,0.005950763270602177,-0.4205155372619629,-0.3913841247558594,0.02913141250610352,0.623846709728241,0.6478797197341919,0.024033010005950928,0.7523417005041455,0.7569211744651917,0.0045794739610461885,0.36407264021722735,0.36161583395366975,-0.0024568062635575982,-3.2037809624382736,-3.1664727000000004,0.0373082890221359
28242,28242,-0.3326772451400757,-0.29945603013038635,0.03322121500968933,-0.19310566782951355,-0.1744891256093979,0.018616542220115658,0.3846608225201423,0.3465838555636761,-0.03807696695646623,-0.6101111769676208,-0.5514799952507019,0.05863118171691895,-0.35576799511909485,-0.3251764178276062,0.03059157729148865,0.7062623553693598,0.6402108151795846,-0.06605154018977523,0.18175458853841614,0.1833794570855143,0.001624868547098146,-4.471541078927838,-4.48303,-0.011488763448871177
28243,28243,0.03786469623446465,0.04225288704037666,0.004388190805912018,0.003615901106968522,0.003261848585680127,-0.00035405252128839493,0.038036955211263386,0.042378604500888574,0.004341649289625181,0.07785912603139877,0.0871553122997284,0.00929618626832962,0.007524162996560334,0.0065904599614441395,-0.0009337030351161957,0.07822184180375738,0.08740413391005362,0.009182292106296244,0.024286363962692882,0.028085032957241282,0.003798668994548404,-4.765184102352059,-4.792530999999999,-0.027346911136711505
28244,28244,0.009450163692235948,0.00905021745711565,-0.0003999462351202965,0.0571540929377079,0.06563362479209901,0.008479531854391098,0.05793009522987345,0.06625465371859635,0.008324558488722898,0.018554698675870892,0.01754054240882397,-0.0010141562670469284,0.11310990154743195,0.13080362975597382,0.01769372820854187,0.11462166754598413,0.13197446792972356,0.01735280038373943,0.08080723878976298,0.09301759842389902,0.012210359634136051,-4.61395800179479,-4.507893599999999,0.1060644394778958
28245,28245,0.06694242358207703,0.07302826642990112,0.006085842847824097,-0.08641950786113739,-0.09781573712825777,-0.01139622926712036,0.10931431477168674,0.12206984118815363,0.012755526416466878,0.1332639902830124,0.1456758677959442,0.012411877512931824,-0.17232646048069,-0.19471333920955655,-0.022386878728866574,0.21784329250163667,0.2431763617711172,0.02533306926948051,0.09691735341793783,0.10736537714490442,0.010448023726966585,-4.69408562805668,-4.647319,0.04676678802982437
28246,28246,-0.12497133016586305,-0.1279587298631668,-0.002987399697303772,-0.024407286196947098,-0.030626637861132625,-0.006219351664185524,0.1273324349210555,0.1315728980256643,0.004240463104608794,-0.2532574236392975,-0.2591150999069214,-0.0058576762676239005,-0.04955541715025902,-0.06243817880749704,-0.012882761657238008,0.2580601906481331,0.266531726390257,0.008471535742123948,0.1270705150068426,0.1312735528102945,0.00420303780345191,-3.214990569632333,-3.1809509,0.03403968958167436
28247,28247,0.09252400696277617,0.08466817438602448,-0.007855832576751709,0.088099405169487,0.06587006151676178,-0.02222934365272522,0.1277583541521465,0.10727331801563814,-0.02048503613650837,0.2004191875457764,0.18307191133499146,-0.017347276210784912,0.19014692306518555,0.1418026238679886,-0.04834429919719696,0.2762674484764115,0.2315670720454297,-0.04470037643098182,0.06364639272572589,0.05800380924653755,-0.0056425834791883405,-3.0325733501698524,-2.9959745,0.036598809459403185
28248,28248,-0.026031779125332832,-0.010931774973869324,0.015100004151463509,0.05751218646764755,0.05617188289761543,-0.0013403035700321198,0.06312927305711334,0.05722572963573935,-0.005903543421373995,-0.056391075253486626,-0.022970393300056458,0.033420681953430176,0.12503153085708618,0.12294267117977142,-0.0020888596773147587,0.13715989602179962,0.12507013778347206,-0.012089758238327586,0.0409262032679486,0.03457377635485394,-0.006352426913094657,-4.536695285793988,-4.4988589999999995,0.03783635711356759
28249,28249,0.2117166519165039,0.25942572951316833,0.04770907759666443,0.049727912992239005,0.059672176837921136,0.009944263845682144,0.21747828863888408,0.266200071040591,0.04872178240170694,0.4336683750152588,0.5175445079803467,0.08387613296508789,0.10142672806978226,0.11995122581720352,0.01852449774742126,0.4453713514083688,0.5312632250736624,0.08589187366529366,0.12961169611462847,0.15158343832942842,0.021971742214799944,-3.0676845243924222,-3.0339537,0.03373085770541051
28250,28250,-0.16521134972572327,-0.04939549043774605,0.11581585928797722,-0.08035396784543991,0.039026521146297455,0.11938048899173735,0.18371594984296066,0.06295223449860905,-0.12076371534435157,-0.3981947600841522,-0.11488229781389235,0.28331246227025986,-0.1927975118160248,0.0924300104379654,0.2852275222539902,0.4424137741084988,0.14744914099635253,-0.2949646331121462,0.0346774306879417,0.02386001062820387,-0.01081742005973783,-2.633060274437124,-2.627761,0.005299387291127999
28251,28251,0.21146899461746216,0.24470439553260806,0.033235400915145874,0.28364574909210205,0.2985753417015076,0.01492959260940552,0.3537994441241251,0.38604076969298345,0.03224132556885834,0.3724713027477264,0.4187464118003845,0.04627510905265808,0.4978560507297516,0.5076018571853638,0.009745806455612184,0.6217680585385627,0.6580335879069757,0.036265529368413096,0.2799513874645366,0.2970816391756263,0.017130251711089672,-3.5113412514492546,-3.4806008000000004,0.030740417556432757
28252,28252,-0.0042176563292741776,-0.0050082290545105925,-0.000790572725236416,0.01965485699474812,0.020457621663808826,0.0008027646690607071,0.020102289133227227,0.02106173407870264,0.0009594449454754137,-0.009095125831663609,-0.010326985269784927,-0.0012318594381213188,0.04281564429402352,0.044791966676712036,0.0019763223826885228,0.04377100307516545,0.045967019737307706,0.00219601666214226,0.014181162722345503,0.014765804873205375,0.000584642150859873,-4.158162775209183,-4.148201,0.009961786439651732
28253,28253,-0.0933915451169014,-0.08004040271043777,0.013351142406463623,-0.290686696767807,-0.3374713957309723,-0.04678469896316528,0.3053207106913994,0.3468334023744823,0.041512691683082914,-0.17609907686710358,-0.1461404711008072,0.029958605766296387,-0.5540907979011536,-0.6295486688613892,-0.0754578709602356,0.5814013219731987,0.6462882977114106,0.0648869757382119,0.19472295403466425,0.21355461658406044,0.018831662549396225,-3.0443965278983365,-3.002913,0.04148352969887359
28254,28254,-0.17267216742038727,-0.1527572125196457,0.019914954900741574,-0.09516602754592897,-0.08565996587276459,0.00950606167316437,0.19716046814847735,0.17513536401907925,-0.02202510412939815,-0.3361393213272095,-0.3001064956188202,0.03603282570838928,-0.18566277623176572,-0.16914460062980652,0.016518175601959232,0.3840056117043131,0.3444906452065508,-0.039514966497762316,0.1702206346495761,0.15514893752632586,-0.015071697123250238,-3.544935170181604,-3.4546803999999995,0.09025472737154504
28255,28255,0.8310312032699585,0.8159809112548828,-0.015050292015075684,-0.03599955514073372,-0.042839210480451584,-0.006839655339717865,0.8318105726538019,0.8171046722953782,-0.014705900358423675,0.8955454230308533,0.8895101547241211,-0.006035268306732178,-0.03897465020418167,-0.04899626597762108,-0.010021615773439407,0.8963931213870665,0.8908585462558462,-0.005534575131220354,0.6500210844127374,0.6642578785014279,0.014236794088690496,-6.465128841043133,-6.4304523,0.03467649424137509
28256,28256,-0.19610239565372467,-0.20345649123191836,-0.007354095578193664,-0.3205960690975189,-0.3283631205558777,-0.0077670514583587655,0.37581643005849424,0.3862860116100472,0.010469581551552977,-0.3307799696922302,-0.340705543756485,-0.009925574064254759,-0.5428680777549744,-0.5521904230117798,-0.00932234525680542,0.6357052290133955,0.6488409133310957,0.01313568431770018,0.3071935877620514,0.3181665292038809,0.010972941441829531,-3.1842488019851536,-3.130117,0.0541318624404763
28257,28257,-0.0344858281314373,-0.02259507216513157,0.011890755966305731,-0.08438588678836823,-0.08058375120162964,0.003802135586738585,0.09116057388460393,0.08369156614542261,-0.007469007739181312,-0.07398306578397751,-0.04814669862389565,0.025836367160081863,-0.18279799818992612,-0.17410342395305636,0.008694574236869812,0.1972019324576729,0.18063805474084885,-0.01656387771682405,0.054319042281509945,0.05157396259210782,-0.002745079689402123,-4.3287200480137304,-4.298942,0.029777958932919013
28258,28258,-0.7228854894638062,-0.6674523949623108,0.05543309450149536,-0.07749465107917786,-0.08521171659231186,-0.0077170655131340036,0.7270274078899709,0.6728697765433762,-0.05415763134659468,-0.9042661786079408,-0.8695237040519714,0.03474247455596924,-0.09804841876029967,-0.11190937459468843,-0.013860955834388731,0.9095662780664217,0.8766956028351202,-0.032870675231301494,0.4131983105594803,0.4221258030332254,0.00892749247374508,-3.1137416521736747,-3.0659666000000003,0.04777504603353844
28259,28259,0.023827696219086647,0.027172945439815518,0.0033452492207288738,-0.14686746895313266,-0.14084681868553162,0.006020650267601013,0.14878781046782175,0.14344404936319322,-0.005343761104628558,0.04937051236629486,0.05585542693734169,0.006484914571046829,-0.3011905252933502,-0.28802490234375,0.01316562294960022,0.30521005884111146,0.2933908197072285,-0.011819239133882995,0.12100693495391884,0.1203880491074884,-0.0006188858464304531,-3.326041953367895,-3.3052385,0.02080346803159117
